,date,tweet_processed,tweet,ZLabel,favorites,geo,hashtags,id,mentions,new,permalink,retweets,username,Lang,Tweet text processed,pred,pred_raw
446,13-11-2019 15:16,rt if you want #oddeven to be extended by delhi government to tackle the pollution issue.,RT if you want # OddEven to be extended by Delhi Government to tackle the Pollution issue.,1,104.0,,#,1.19e+18,,,https://twitter.com/DaaruBaazMehta/status/1194552079458586625,153.0,DaaruBaazMehta,en,rt if you want #oddeven to be extended by delhi government to tackle the pollution issue.,0,0.9887264370918274
453,05-11-2019 10:34,"watch n share ndtv's speaks to delhi dy cm about #oddeven and why bjp is opposing this pro-janta measure. bjp is trying to make the entire issue political, while aap is trying its best to ensure janta of delhi isn't suffering.","WATCH N SHARE NDTV's @ Sonal_MK Speaks to Delhi Dy CM @ msisodia about # OddEven and WHY BJP is Opposing this Pro-Janta Measure. BJP is trying to make the entire issue Political, While AAP is trying its best to ensure Janta of Delhi isn't suffering. pic.twitter.com/WFiRe9t4Wh",1,169.0,,#,1.19e+18,@ @,,https://twitter.com/DaaruBaazMehta/status/1191582146772664320,81.0,DaaruBaazMehta,en,"watch n share ndtv's speaks to delhi dy cm about #oddeven and why bjp is opposing this pro-janta measure. bjp is trying to make the entire issue political, while aap is trying its best to ensure janta of delhi isn't suffering.",-1,0.6960214376449585
459,07-11-2019 15:48,drove in #oddeven & it took same time as any other day. #kejriwal must introduce new version where last digits from 0 to 9 should be permitted on the last digit of the date. after all the exemptions it should help reducing the vehicular traffic by 7.8% & pollution by 1.69%,Drove in # OddEven & it Took same time as any other day. # Kejriwal must introduce new version where last digits from 0 to 9 should be permitted on the last digit of the date. After all the exemptions it should help reducing the vehicular traffic by 7.8% & Pollution by 1.69%,1,0.0,,# #,1.19e+18,,,https://twitter.com/arshpath/status/1192385878124949505,0.0,arshpath,en,drove in #oddeven & it took same time as any other day. #kejriwal must introduce new version where last digits from 0 to 9 should be permitted on the last digit of the date. after all the exemptions it should help reducing the vehicular traffic by 7.8% & pollution by 1.69%,1,0.9969795942306519
460,08-11-2019 9:27,"they are saving #environment for their kids in #delhi it is not an opportunity to make extra money, it is an opportunity to to save #environment which is #harmful to our and their kids. #oddeven #surgepricing #delhipollution #savedelhi","They are saving # environment For their kids in # Delhi It is not an opportunity to make extra money, it is an opportunity to to save # environment which is # harmful To our and their kids. # OddEven # surgepricing # DelhiPollution # savedelhi @ Olacabs @ Uber_India https://shrts.in/t7xh pic.twitter.com/PivtNLSPUV",1,0.0,,# # # # # # # #,1.19e+18,@ @,,https://twitter.com/eatloman/status/1192652315045457922,0.0,eatloman,en,"they are saving #environment for their kids in #delhi it is not an opportunity to make extra money, it is an opportunity to to save #environment which is #harmful to our and their kids. #oddeven #surgepricing #delhipollution #savedelhi",-1,0.9988240599632263
461,07-11-2019 17:27,"yesterday i was happy when i was going to office as i looked the weather was good #delhi but today when i was coming it wasn't good and the pollution was as it was before few days, it seems that public aren't doing there duty by following #oddeven #arvindkejriwal","Yesterday i was happy when i was going to office as i looked the weather was good # Delhi but today when i was coming it wasn't good and the pollution was @ high as it was before few days, It seems that public aren't doing there duty by following # OddEven # ArvindKejriwal",1,0.0,,# # #,1.19e+18,@,True,https://twitter.com/mukks_mukul/status/1192410702499074049,0.0,mukks_mukul,en,"yesterday i was happy when i was going to office as i looked the weather was good #delhi but today when i was coming it wasn't good and the pollution was as it was before few days, it seems that public aren't doing there duty by following #oddeven #arvindkejriwal",-1,0.9978795051574707
463,09-11-2019 1:03,that's it! this is the solution! #oddeven …,That's it! This is the solution! # OddEven https://twitter.com/ProsaicView/status/1192802149790441472 …,1,2.0,,#,1.19e+18,,,https://twitter.com/HiOnMoon/status/1192887972158271489,0.0,HiOnMoon,en,that's it! this is the solution! #oddeven …,1,0.9886525273323059
469,12-11-2019 9:11,you need to continue the odd even driving rule till feb pls!! #oddeven #delhismog #pollutionkills,You need to continue the odd even driving rule till feb pls!! @ ArvindKejriwal # OddEven # DelhiSmog # pollutionkills,1,1.0,,# # #,1.19e+18,@,,https://twitter.com/AnkitStage/status/1194097851229450240,0.0,AnkitStage,en,you need to continue the odd even driving rule till feb pls!! #oddeven #delhismog #pollutionkills,1,0.7969000935554504
471,12-11-2019 23:34,wth. are you saying #oddeven isn't working ?,WTH. Are you saying # oddeven isn't working ?,1,1.0,,#,1.19e+18,,,https://twitter.com/Strive_4_futr/status/1194314948790214656,0.0,Strive_4_futr,en,wth. are you saying #oddeven isn't working ?,-1,0.9989612102508545
474,13-11-2019 14:21,while lawmakers are doing their bit to tackle the environmental crisis-for instance the #oddeven scheme in delhi-several start-ups are also looking to help deal with the situation. #delhiairemergency #startups by : shreya ganguly …,While lawmakers are doing their bit to tackle the environmental crisis-for instance the # OddEven scheme in Delhi-several start-ups are also looking to help deal with the situation. @ ArvindKejriwal # DelhiAirEmergency # startups By : Shreya Gangulyhttps://www.entrepreneur.com/slideshow/341774 …,1,4.0,,# # #,1.19e+18,@,,https://twitter.com/EntrepreneurIND/status/1194538149281587201,1.0,EntrepreneurIND,en,while lawmakers are doing their bit to tackle the environmental crisis-for instance the #oddeven scheme in delhi-several start-ups are also looking to help deal with the situation. #delhiairemergency #startups by : shreya ganguly …,0,0.9979444146156311
480,04-11-2019 16:52,if you cannot do good than atleast support good. #vijaygoel #shame #oddeven #delhiairemergency …,If you cannot do good than atleast support good. # VijayGoel # Shame # OddEven # DelhiAirEmergencyhttps://twitter.com/the_hindu/status/1191290508448010240 …,1,2.0,,# # # #,1.19e+18,,,https://twitter.com/AnayShrivastav/status/1191314696302780416,0.0,AnayShrivastav,en,if you cannot do good than atleast support good. #vijaygoel #shame #oddeven #delhiairemergency …,1,0.9973042011260986
486,04-11-2019 13:15,asked to reduce delhi's domestic emissions. and that's exactly what he is trying to do with #oddeven . then what the hell is your problem now?,@ BJP4India asked @ ArvindKejriwal to reduce Delhi's domestic emissions. And that's exactly what he is trying to do with # OddEven . Then what the hell is your problem now? @ VijayGoelBJP @ ManojTiwariMP,1,1.0,,#,1.19e+18,@ @ @ @,,https://twitter.com/ekta2993/status/1191260176743055360,0.0,ekta2993,en,asked to reduce delhi's domestic emissions. and that's exactly what he is trying to do with #oddeven . then what the hell is your problem now?,-1,0.9988322854042053
488,04-11-2019 13:05,"kejriwal requested not to burst crackers during diwali eve , requested everyone to contribute their part for #oddeven scheme ,banned construction work , etc . whatever he is doing even it is election gimmick i am more than happy that pollution could be restricted . …","Kejriwal requested not to burst crackers during diwali eve , requested everyone to contribute their part for # OddEven scheme ,banned construction work , etc . Whatever he is doing even it is election gimmick I am more than happy that pollution could be restricted . https://twitter.com/ndtv/status/1191051597733748739 …",1,17.0,,#,1.19e+18,,,https://twitter.com/RahulVerma4860/status/1191257593626251264,2.0,RahulVerma4860,en,"kejriwal requested not to burst crackers during diwali eve , requested everyone to contribute their part for #oddeven scheme ,banned construction work , etc . whatever he is doing even it is election gimmick i am more than happy that pollution could be restricted . …",-1,0.9983624815940857
496,04-11-2019 10:59,all the best delhi for #oddeven . it's doubtful how much it will contribute to tackle #delhiairemergency but state govt is putting their efforts when centre is totally silent on such important issue. #letsuniteagainstpollution and contribute to better future.,All the best Delhi for # OddEven . It's doubtful how much it will contribute to tackle # DelhiAirEmergency but state govt is putting their efforts when Centre is totally silent on such important issue. # LetsUniteAgainstPollution and contribute to better future.,1,4.0,,# # #,1.19e+18,,,https://twitter.com/lalitjad/status/1191225942221320194,2.0,lalitjad,en,all the best delhi for #oddeven . it's doubtful how much it will contribute to tackle #delhiairemergency but state govt is putting their efforts when centre is totally silent on such important issue. #letsuniteagainstpollution and contribute to better future.,1,0.997500479221344
501,04-11-2019 12:24,"aap organise #community diwali bjp calls it waste of #taxpayers money. sc bans fire #crackers in delhi. bjp calls it #antihindu stand. aap implement #oddeven bjp calls it #electionstunt now you know, who is doing politics on #pollution... ? #bjpagainstcleanair","AAP organise # Community Diwali BJP calls it waste of # Taxpayers money. SC bans Fire # Crackers in Delhi. BJP calls it # AntiHindu stand. AAP implement # OddEven BJP calls it # ElectionStunt Now you know, Who is doing politics on # Pollution... ? # BJPAgainstCleanAir",1,16.0,,# # # # # # # #,1.19e+18,,True,https://twitter.com/abhishekvijay_/status/1191247444761174016,12.0,abhishekvijay_,en,"aap organise #community diwali bjp calls it waste of #taxpayers money. sc bans fire #crackers in delhi. bjp calls it #antihindu stand. aap implement #oddeven bjp calls it #electionstunt now you know, who is doing politics on #pollution... ? #bjpagainstcleanair",0,0.9934754967689514
503,04-11-2019 12:31,"yes, better and more efficient public transportation is one of the key option. eventually it will reduce the no. of private vehicles which is also the end result of #oddeven","Yes, better and more efficient public transportation is one of the key option. Eventually it will reduce the no. of private vehicles which is also the end result of # OddEven",1,1.0,,#,1.19e+18,,,https://twitter.com/abhijeet_dipke/status/1191248996712366082,0.0,abhijeet_dipke,en,"yes, better and more efficient public transportation is one of the key option. eventually it will reduce the no. of private vehicles which is also the end result of #oddeven",1,0.8315862417221069
505,04-11-2019 12:35,"after april 2016, #oddeven fir se! but why not odd-even in between those years? was there no pollution? why doesn’t government make this rule permanent & increase public transport so people can breathe easily, move easily make this formula permanent.","After April 2016, # OddEven fir se! But why not odd-even in between those years? Was there no pollution? Why doesn’t government make this rule permanent & increase public transport so people can breathe easily, move easily @ ArvindKejriwal make this formula permanent. @ hvgoenka",1,74.0,,#,1.19e+18,@ @,,https://twitter.com/RavindraGautam_/status/1191250062418022400,37.0,RavindraGautam_,en,"after april 2016, #oddeven fir se! but why not odd-even in between those years? was there no pollution? why doesn’t government make this rule permanent & increase public transport so people can breathe easily, move easily make this formula permanent.",1,0.8254557251930237
508,13-11-2019 22:18,"68% of milk below fssai std. 70% of freshwater contaminated ddt contamination is so high that it's now present in breastmilk yamuna in delhi looks like a soapy mattress but yeah, #oddeven should fix our #airpollution. our govt. & we are together on short-termism.","68% of milk below FSSAI std. 70% of freshwater contaminated DDT contamination is so high that it's now present in breastmilk Yamuna in Delhi looks like a soapy mattress But yeah, # OddEven should fix our # AirPollution. Our govt. & we are together on short-termism.",1,2.0,,# #,1.19e+18,,,https://twitter.com/shukla_punit/status/1194658229029990401,0.0,shukla_punit,en,"68% of milk below fssai std. 70% of freshwater contaminated ddt contamination is so high that it's now present in breastmilk yamuna in delhi looks like a soapy mattress but yeah, #oddeven should fix our #airpollution. our govt. & we are together on short-termism.",-1,0.9982011318206787
512,04-11-2019 21:51,pm2.5 and pm10 levels throughout the day :) let's defeat this parali pollution and contribute by following #oddeven till 14 november.,PM2.5 and PM10 levels throughout the day :) Let's defeat this Parali Pollution and contribute by following # OddEven till 14 November. pic.twitter.com/PfZI27XvKA,1,0.0,,#,1.19e+18,,,https://twitter.com/AapActive123/status/1191390070877519872,0.0,AapActive123,en,pm2.5 and pm10 levels throughout the day :) let's defeat this parali pollution and contribute by following #oddeven till 14 november.,1,0.9972092509269714
513,04-11-2019 22:03,"looks like aqi has come down considerably. could be due to #oddeven today. should continue this, and next year, start this before pollution strikes","looks like aqi has come down considerably. could be due to # OddEven today. @ ArvindKejriwal should continue this, and next year, start this before pollution strikes",1,0.0,,#,1.19e+18,@,,https://twitter.com/kay_jpr/status/1191392957519167489,0.0,kay_jpr,en,"looks like aqi has come down considerably. could be due to #oddeven today. should continue this, and next year, start this before pollution strikes",1,0.9974125027656555
520,05-11-2019 10:33,"#oddeven should be permanent applicable for delhi ncr. firstly it reduce pollution, moreover make drivable place for vehicles. less traffic and more peace. #pollutionkasolution","@ ArvindKejriwal @ PMOIndia # OddEven should be permanent applicable for Delhi NCR. Firstly it reduce pollution, moreover make drivable place for vehicles. Less Traffic and More Peace. # PollutionKaSolution @ TOIIndiaNews @ ABPNews @ aajtak @ BBCHindi @ ZeeNews @ ndtv @ Ankit_leo89",1,2.0,,# #,1.19e+18,@ @ @ @ @ @ @ @ @,,https://twitter.com/ComeOnSense21/status/1191581877292810240,0.0,ComeOnSense21,en,"#oddeven should be permanent applicable for delhi ncr. firstly it reduce pollution, moreover make drivable place for vehicles. less traffic and more peace. #pollutionkasolution",1,0.9972334504127502
522,05-11-2019 12:04,i swear it feels like you've stepped into a diff city when you get out during #oddeven,I swear it feels like you've stepped into a diff city when you get out during # OddEven,1,48.0,,#,1.19e+18,,,https://twitter.com/konpal_patni/status/1191604745087025152,22.0,konpal_patni,en,i swear it feels like you've stepped into a diff city when you get out during #oddeven,1,0.9414849281311035
528,13-11-2019 21:28,riding through delhi is super cool. right now at sp marg which is otherwise choked at this hour with traffic. #oddeven ko permanent kar do bhai …,Riding through Delhi is super cool. Right now at SP MARG which is otherwise choked at this hour with traffic. # OddEven ko permanent kar do bhai https://twitter.com/AshishXL/status/1191595565114675200/video/1 …,1,1.0,,#,1.19e+18,,,https://twitter.com/aartimishra___/status/1194645650870194176,2.0,aartimishra___,en,riding through delhi is super cool. right now at sp marg which is otherwise choked at this hour with traffic. #oddeven ko permanent kar do bhai …,1,0.9978715181350708
533,04-11-2019 13:46,"the impact of #oddeven rule will help us #beatairpollution #changewhatyoucan & #letsuniteagainstpollution to reduce it.more trees you plant, less pollution you get . download on android & ios #envier #mondaymotivaton","The Impact of # OddEven rule will help us # beatairpollution # ChangeWhatYouCan & # LetsUniteAgainstPollution to reduce it.More trees you plant, less pollution you get . Download @ Envirer_IN on Android http://bit.ly/2OEwRtf  & iOS http://apple.co/2HQL8RM # envier # MondayMotivatonpic.twitter.com/H39Dyx8gAr",1,2.0,,# # # # # #,1.19e+18,@,,https://twitter.com/Envirer_IN/status/1191268071920418816,0.0,Envirer_IN,en,"the impact of #oddeven rule will help us #beatairpollution #changewhatyoucan & #letsuniteagainstpollution to reduce it.more trees you plant, less pollution you get . download on android & ios #envier #mondaymotivaton",1,0.9967626333236694
540,04-11-2019 15:19,"pollution is a disaster caused by human, solution also has to come by them. the #oddeven may not clear the sky but it will reduce the domestic vehicular toxic emissions. even if it cut down 2% of pollution, we all must follow it. it's for you, me and our generations.","Pollution is a disaster caused by human, solution also has to come by them. The # OddEven may not clear the sky but it will reduce the domestic vehicular toxic emissions. Even if it cut down 2% of pollution, we all must follow it. It's for you, me and our generations.",1,8.0,,#,1.19e+18,,,https://twitter.com/Aritra2002/status/1191291252131545089,0.0,Aritra2002,en,"pollution is a disaster caused by human, solution also has to come by them. the #oddeven may not clear the sky but it will reduce the domestic vehicular toxic emissions. even if it cut down 2% of pollution, we all must follow it. it's for you, me and our generations.",1,0.9972200393676758
542,04-11-2019 21:31,"due to wind started from yesterday evening. the poisoned smog, comes from neighborhood states starting to finished in the city. this is good news. the #oddeven is also works. a 50% of city traffic remove from roads is not the common thing. congratulations #delhi. #delhigovt","Due to wind started from yesterday evening. The poisoned smog, comes from neighborhood states starting to finished in the city. This is good news. The # OddEven is also works. A 50% of city traffic remove from roads is not the common thing. Congratulations # Delhi. # DelhiGovt",1,0.0,,# # #,1.19e+18,,,https://twitter.com/kartikkalia98/status/1191384925691203584,0.0,kartikkalia98,en,"due to wind started from yesterday evening. the poisoned smog, comes from neighborhood states starting to finished in the city. this is good news. the #oddeven is also works. a 50% of city traffic remove from roads is not the common thing. congratulations #delhi. #delhigovt",-1,0.9868144989013672
549,03-11-2019 13:15,with the #oddeven is still the only cm to have taken a step to control #airpollution while others are still silent. it is a north indian problem not just delhi problem. wake up,With the # OddEven @ ArvindKejriwal is still the only CM to have taken a step to control # AirPollution while others are still silent. It is a NORTH INDIAN PROBLEM not just DELHI problem. Wake up @ mlkhattar @ capt_amarinder @ myogiadityanath,1,0.0,,# #,1.19e+18,@ @ @ @,,https://twitter.com/ekta2993/status/1190897679846510592,0.0,ekta2993,,with the #oddeven is still the only cm to have taken a step to control #airpollution while others are still silent. it is a north indian problem not just delhi problem. wake up,-1,0.9976673722267151
551,04-11-2019 12:50,so much excited #mondaymotivation #oddeven #restoreprofratanlal #mondaymorning #mondaythoughts #indvsban,So much excited # MondayMotivation # OddEven # RestoreProfRatanlal # MondayMorning # mondaythoughts # INDvsBAN,1,0.0,,# # # # # #,1.19e+18,,,https://twitter.com/Ravisingh1011/status/1191253797382717440,0.0,Ravisingh1011,en,so much excited #mondaymotivation #oddeven #restoreprofratanlal #mondaymorning #mondaythoughts #indvsban,1,0.9978287816047668
569,18-11-2019 12:59,thanks kajriwal #oddeven,Thanks kajriwal # oddeven,1,0.0,,#,1.2e+18,,,https://twitter.com/tahiralom/status/1196329608108531712,0.0,tahiralom,,thanks kajriwal #oddeven,1,0.9966036081314087
574,17-11-2019 08:35,request to make #oddeven permanent in delhi throughout the year #pollution #delhiairemergency #delhincrpollution,@ ArvindKejriwal request to make # OddEven permanent in Delhi throughout the year # Pollution # DelhiAirEmergency # DelhiNCRPollution,1,1.0,,# # # #,1.2e+18,@,,https://twitter.com/rajivpuri10/status/1195900738183892993,1.0,rajivpuri10,,request to make #oddeven permanent in delhi throughout the year #pollution #delhiairemergency #delhincrpollution,1,0.9974623918533325
580,04-11-2019 12:10,#oddeven #oddevendobara must be made a permanent thing in the ncr. including two-wheelers.,# OddEven # oddevendobara must be made a permanent thing in the NCR. Including two-wheelers.,1,0.0,,# #,1.19e+18,,,https://twitter.com/jd0893/status/1191243788863205377,0.0,jd0893,en,#oddeven #oddevendobara must be made a permanent thing in the ncr. including two-wheelers.,1,0.9966217279434204
582,04-11-2019 11:20,i openly welcome this initiative as well as all others 2make our delhi pollution free! i request govt to come 4ward with more initiatives and campaigns like this 2curb d growing pollution nowadays hailing 4rm neighboring states. #oddeven #simplyogi #educatedkhatik,I openly welcome this initiative as well as all others 2make our Delhi Pollution Free! I request @ AamAadmiParty Govt to come 4ward with more initiatives and campaigns like this 2curb d growing pollution nowadays hailing 4rm neighboring states. # OddEven # simplyogi # educatedkhatik,1,0.0,,# # #,1.19e+18,@,,https://twitter.com/Yogesh_Naager/status/1191231115102547968,0.0,Yogesh_Naager,en,i openly welcome this initiative as well as all others 2make our delhi pollution free! i request govt to come 4ward with more initiatives and campaigns like this 2curb d growing pollution nowadays hailing 4rm neighboring states. #oddeven #simplyogi #educatedkhatik,1,0.9979211688041687
584,04-11-2019 10:40,"for all the beauty and richness delhi has brought to our lives, it needs us today. let's do it for delhi, let's do it for ourselves and for our kids. together we can! #oddeven","For all the beauty and richness Delhi has brought to our lives, it needs us today. Let's do it for Delhi, let's do it for ourselves and for our kids. Together we can! # OddEven",1,8.0,,#,1.19e+18,,,https://twitter.com/AAPNDGupta/status/1191221177684856833,3.0,AAPNDGupta,en,"for all the beauty and richness delhi has brought to our lives, it needs us today. let's do it for delhi, let's do it for ourselves and for our kids. together we can! #oddeven",1,0.9979596138000488
586,04-11-2019 10:44,"i care for my family's health i care for delhi's health i care for every child's health i pledge to reduce pollution i promise to follow #oddeven do you ??? those who care for delhi's health please share your msgs. friends, #letsuniteagainstpollution","I care for my family's Health I care for Delhi's Health I care for Every Child's Health I pledge to reduce pollution I promise to follow # OddEven Do you ??? Those who care for Delhi's Health please share your msgs. Friends, # LetsUniteAgainstPollution",1,1.0,,# #,1.19e+18,,,https://twitter.com/InsanKomal12/status/1191222138046316544,0.0,InsanKomal12,en,"i care for my family's health i care for delhi's health i care for every child's health i pledge to reduce pollution i promise to follow #oddeven do you ??? those who care for delhi's health please share your msgs. friends, #letsuniteagainstpollution",1,0.9978652596473694
599,04-11-2019 15:53,pic of the day:) finest political leader - dy cm ji leading by example on #oddeven,Pic of the Day:) Finest Political LEADER - Dy CM @ msisodia ji leading by example on # OddEven pic.twitter.com/ct4omus1zR,1,148.0,,#,1.19e+18,@,,https://twitter.com/SirishaRao17/status/1191299906608095232,32.0,SirishaRao17,en,pic of the day:) finest political leader - dy cm ji leading by example on #oddeven,1,0.9736621975898743
600,04-11-2019 15:35,i support #oddeven will use metro tomorrow to commute. hope all fellow citizens follow #oddeven,@ msisodia @ raghav_chadha I support # OddEven Will use Metro tomorrow to commute. Hope all fellow citizens follow # OddEven,1,1.0,,# #,1.19e+18,@ @,,https://twitter.com/gkpal1977/status/1191295488751857665,0.0,gkpal1977,en,i support #oddeven will use metro tomorrow to commute. hope all fellow citizens follow #oddeven,1,0.9980929493904114
602,04-11-2019 15:02,"if you cannot oppose a justified and logical move with proper reason, stupidity is born! #getwellsoon and please make way to #oddeven …","If you cannot oppose a justified and logical move with proper reason, stupidity is born! # GetWellSoon and please make way to # OddEven https://twitter.com/VijayGoelBJP/status/1191233036571955201 …",1,1.0,,# #,1.19e+18,,,https://twitter.com/tara_rev/status/1191287180431200256,0.0,tara_rev,en,"if you cannot oppose a justified and logical move with proper reason, stupidity is born! #getwellsoon and please make way to #oddeven …",-1,0.9648741483688354
618,05-11-2019 22:26,arvind kejriwal solving #delhipollution with the #oddeven scheme,Arvind Kejriwal solving # DelhiPollution with the # OddEven Scheme pic.twitter.com/Pq1TpMgm4E,1,250.0,,# #,1.19e+18,,,https://twitter.com/rose_k01/status/1191761312562343936,71.0,rose_k01,en,arvind kejriwal solving #delhipollution with the #oddeven scheme,0,0.9970566034317017
628,05-11-2019 12:56,looks like #oddeven is working in delhi. what do you think? #delhipollution #climateemergency,Looks like # OddEven is working in Delhi. What do you think? # DelhiPollution # ClimateEmergencypic.twitter.com/w2ieYE1bfN,1,2.0,,# # #,1.19e+18,,,https://twitter.com/AbhijayKr/status/1191617866086277120,1.0,AbhijayKr,en,looks like #oddeven is working in delhi. what do you think? #delhipollution #climateemergency,1,0.9837918281555176
644,14-11-2019 23:38,good decision #oddeven may be extended by #delhigovt satendar yadav (patel नगर) thanks,Good decision # oddeven may be extended by # delhigovt Satendar Yadav (PATEL नगर) Thanks @ ArvindKejriwal @ aap_HazariLaL @ Abhadani2 @ AnkushNarang_ @ SanjayAzadSlnpic.twitter.com/Bqh2bBYzuS,1,3.0,,# #,1.2e+18,@ @ @ @ @,,https://twitter.com/Satyend57520612/status/1195040740319145987,2.0,Satyend57520612,,good decision #oddeven may be extended by #delhigovt satendar yadav (patel नगर) thanks,1,0.9972646236419678
665,28-11-2019 09:28,time to celebrate the succsess of #oddeven,Time to celebrate the succsess of # oddeven,1,13.0,,# #,1.2e+18,,,https://twitter.com/ArvindKejriWaa1/status/1199900314083528704,2.0,ArvindKejriWaa1,,time to celebrate the succsess of #oddeven,1,0.9978027939796448
668,21-11-2019 23:50,"surprisingly the traffic ws under super control, my office colleagues from delhi r reaching office(ggn)before time. public transportation got benefitted not just in delhi bt also in ncr . ps: if you think #oddeven can really make a difference …","Surprisingly the traffic ws under super control, my office colleagues from Delhi r reaching office(GGN)before time. Public transportation got benefitted not just in Delhi bt also in NCR . PS: if you think # oddeven can really make a difference https://twitter.com/rahulkanwal/status/1197389438210449408 …",1,0.0,,#,1.2e+18,,,https://twitter.com/sidpraz/status/1197580438035816448,0.0,sidpraz,,"surprisingly the traffic ws under super control, my office colleagues from delhi r reaching office(ggn)before time. public transportation got benefitted not just in delhi bt also in ncr . ps: if you think #oddeven can really make a difference …",1,0.9968292117118835
672,13-11-2019 20:50,parties just want to do politics nobody wants development or the well being for the people. i support the odd even rule in delhi. jai hind #oddeven #delhiairpollution #delhiairemergency …,Parties just want to do politics nobody wants development or the well being for the people. I support the odd even rule in Delhi. ,1,3.0,,# # #,1.19e+18,@,,https://twitter.com/Mr_kumar_07/status/1194636131448393729,0.0,Mr_kumar_07,en,parties just want to do politics nobody wants development or the well being for the people. i support the odd even rule in delhi.,1,0.9937971830368042
673,13-11-2019 16:50,"delhi in despair with ‘severe’ air , kejriwal says govt may extend odd-even #delhiairemergency #delhipollution #delhi #arvindkejriwal #aqi #delhincrpollution #oddeven #airpollution","Delhi in despair with ‘severe’ air , Kejriwal says Govt may extend odd-even # DelhiAirEmergency # DelhiPollution # Delhi # ArvindKejriwal # AQI # DelhiNCRPollution # OddEven # AirPollutionhttps://bit.ly/32IE7tt",0,0.0,,# # # # # # # #,1.19e+18,,,https://twitter.com/pennewstweet/status/1194575749384007680,0.0,pennewstweet,en,"delhi in despair with ‘severe’ air , kejriwal says govt may extend odd-even #delhiairemergency #delhipollution #delhi #arvindkejriwal #aqi #delhincrpollution #oddeven #airpollution",0,0.9988511800765991
675,13-11-2019 15:57,"if the need arises, we will extend it (odd-even scheme)"" #arvindkejriwal #oddeven #airpollution #delhiairemergency #delhiairpollution …""","If the need arises, we will extend it (odd-even scheme)"" # arvindkejriwal # OddEven # AirPollution # DelhiAirEmergency # DelhiAirPollutionhttps://www.outlookindia.com/website/story/india-news-if-needed-odd-even-will-be-extended-says-arvind-kejriwal/342249 …""",0,0.0,,# # # # #,1.19e+18,,,https://twitter.com/shubh_1201/status/1194562481391206400,0.0,shubh_1201,en,"if the need arises, we will extend it (odd-even scheme)"" #arvindkejriwal #oddeven #airpollution #delhiairemergency #delhiairpollution …""",0,0.9985338449478149
678,07-11-2019 20:50,decision on lifting odd-even rule on guru nanak jayanti by friday: kejriwal #oddevenscheme #oddeven,Decision on lifting odd-even rule on Guru Nanak Jayanti by Friday: Kejriwal # oddevenscheme # OddEven https://mybs.in/2XAcPvB,0,3.0,,# #,1.19e+18,,,https://twitter.com/bsindia/status/1192461706498326530,0.0,bsindia,en,decision on lifting odd-even rule on guru nanak jayanti by friday: kejriwal #oddevenscheme #oddeven,0,0.9991987347602844
680,07-11-2019 17:12,"leading by example, great job ! #oddeven …","Leading by example, great job ! @ adarshshastri @ msisodia @ ArvindKejriwal # Oddeven https://twitter.com/AAPDelhi/status/1192384726578823168 …",1,0.0,,#,1.19e+18,@ @ @,,https://twitter.com/IchhitB/status/1192407091333541888,0.0,IchhitB,en,"leading by example, great job ! #oddeven …",1,0.9960609078407288
684,06-11-2019 23:40,kejriwal should suggest maharashtra government about #oddeven maharashtra need #oddeven governament one day fadnavis another day some one from shivsena,Kejriwal should suggest maharashtra government About # OddEven Maharashtra need # OddEven governament One day fadnavis Another day some one from shivsena @ rais_shk @ academic_dud @ Aam_Nationalistpic.twitter.com/GiKwB03hr5,1,0.0,,# #,1.19e+18,@ @ @,,https://twitter.com/NotsaquibA/status/1192142099266916354,0.0,NotsaquibA,en,kejriwal should suggest maharashtra government about #oddeven maharashtra need #oddeven governament one day fadnavis another day some one from shivsena,1,0.9454798102378845
689,06-11-2019 16:57,"#arvindkejriwal sir, please continue the #oddeven, till november end. it's a blessing.","# ArvindKejriwal Sir, please continue the # OddEven, till November end. It's a blessing.",1,0.0,,# #,1.19e+18,,,https://twitter.com/saanvipreenja/status/1192040691444146177,0.0,saanvipreenja,en,"#arvindkejriwal sir, please continue the #oddeven, till november end. it's a blessing.",1,0.9981206059455872
691,06-11-2019 11:49,"on the first day of the #oddeven rule, violators were let off with a warning","On the first day of the # OddEven rule, violators were let off with a warning https://mintne.ws/33ksxpn",0,3.0,,#,1.19e+18,,,https://twitter.com/livemint/status/1191963191909244928,0.0,livemint,en,"on the first day of the #oddeven rule, violators were let off with a warning",0,0.999032735824585
698,05-11-2019 9:39,today morning woke up with clear sky and a blue sky after long time.....thanks #arvindkejriwal ...... #oddeven showing some result.....,Today morning woke up with clear sky and a blue sky after long time.....thanks # ArvindKejriwal ...... # OddEven showing some result.....,1,699.0,,# #,1.19e+18,,,https://twitter.com/piyal456/status/1191568239416897536,0.0,piyal456,en,today morning woke up with clear sky and a blue sky after long time.....thanks #arvindkejriwal ...... #oddeven showing some result.....,1,0.9970085024833679
700,04-11-2019 22:10,pollution control: up to implement odd-even scheme up forest minister said the police department will tell us when they are going to implement this #oddeven #oddevenscheme,Pollution control: UP to implement odd-even scheme UP Forest Minister said the Police Department will tell us when they are going to implement this # OddEven # oddevenschemehttps://mybs.in/2XAb2Vf,0,11.0,,# #,1.19e+18,,,https://twitter.com/bsindia/status/1191394674994556928,3.0,bsindia,en,pollution control: up to implement odd-even scheme up forest minister said the police department will tell us when they are going to implement this #oddeven #oddevenscheme,0,0.9992361068725586
