,Locations
1073,In Bengaluru now ...
1074,USA
1075,"आधा दिल्ली वाला ,हाफ मुंबईकर"
1076,"Ambikapur, India"
1077,Aizawl Mizoram
1078,AlwarRajasthan office at Delhi
1079,Musafir
1080,"Mehrauli, New Delhi"
1081,Delhi INDIA
1082,Jehanabad (Bihar )
1083,Srinagar - Gulmarg - Delhi - ?
1084,"Bengaluru, Raebareli, India"
1085,Roorkee
1086,"Punjabi Bagh, New Delhi, INDIA"
1087,"ÜT: 12.975347,77.607725"
1088,"ÜT: 28.579464,77.168715"
1089,faridabad
1090,New Delhi | Mumbai
1091,"Bhanvad, DevBhumi Dwarka"
1092,Ahmedabad -INDIA-
1093,pale Blue dot
1094,Āryāvarta
1095,"Thane West, India"
1096,"Minnesota, USA"
1097,New Delhi ~ Nagpur
1098,Irani cafe 
1099,"Los Angeles, CA"
1100,Noida/Cuttack
1101,between nowhere and goodbye
1102,Milkyway~Cosmos
1103,"Uttar Pradesh , Haryana"
1104,"ÜT: 17.423289,78.4438978"
1105,"Hapur, India"
1106,51% French 100% Globalized
1107,"Varanasi,UP, India"
1108,Delhi india
1109,You are here
1110,"Jagtial, Telangana"
1111,"Gurugram, Haryana, India "
1112,Amethi/Noida/Delhi/Bangalore
1113,"Khan Market, New Delhi"
1114,Gangavathi
1115,The whole World is 
1116,U
1117,Fatehgadh -(Kutch) Gujarat
1118,#अयोध्या_श्रीराम_की
1119,Jind
1120,"Vancouver, British Columbia"
1121,Noida - Delhi - Haryana
1122,"Punjab, India"
1123,"Ahmedabad City, India"
1124,Nashik
1125,Internet
1126,Outside Kashmir | Kashmir
1127,"raibareli, up"
1128,Indirapuram
1129,"Agra, UP/Bangalore/Delhi"
1130,"Madurai, Delhi, India"
1131,Assam
1132,Venezuela
1133,चित्तोड़गढ़
1134,"comilla, Bangladesh "
1135,"Amethi Uttar Pradesh, India"
1136,गुजराती मुच्छड़ का घर
1137,sach aur jhooth ke us paar
1138,Bangalore. Chennai. India.
1139,"Fatehpur, India"
1140,"Delhi/Gurugram, India"
1141,Dhaka
1142,"19.0760° N, 72.8777° E"
1143,Hogwarts 
1144,Jabalpur (M.P.)
1145,Holy Himalayas
1146,"Green Park, New Delhi"
1147,Kuala Lumpur
1148,"Bhavnagar, Gujarat"
1149,सर्वव्यापी
1150,"Haryana,India"
1151,Goa . Mumbai . London
1152,Delhi se hu BC
1153,Jammu And Kashmir
1154,"मुंबई, प्रयागराज।"
1155,"Jammu, Jammu And Kashmir"
1156,Ubiquitous
1157,"Ontario, Canada"
1158,Sri Lanka
1159,चंडीगढ़ 
1160,Interstellar
1161,"Greater Noida West, India"
1162,New Delhi (Actually Gurgaon)
1163,Masshole
1164,Solitude
1165,"New Delhi,  B'lore, Hyd. India"
1166,Amritsar punjab. 
1167,"मुंबई, भारत"
1168,On Earth .
1169,neha.trade1@gmail.com
1170,Tundla
1171,Haryana ✈Delhi ✈Haryana
1172,JambuDeepam
1173,★___धोराँ_आळो_देश___★
1174,"Basti, India"
1175,"New Delhi, Bangalore"
1176,"Mathura, Agra, New Delhi"
1177,"Medinipur, West Bengal, India"
1178,District X
1179,"Gurugram, India"
1180,"Orlando, FL"
1181,"Doha, Qatar"
1182,"Mumbai, India and New Delhi"
1183,Noida | Kochi
1184,Musafhir hoon Yaaro! :)
1185,en
1186,Varanasi ~ New Delhi
1187,⠀⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀
1188,"Maharashtra - Gujarat, India"
1189,Mumbai !
1190,Camp Astana
1191,"Meerut, Varanasi, Delhi, India"
1192,Rohtak
1193,"लेह, लद्दाख "
1194,"INDIA, भारत "
1195,"New Delhi, Lucknow, Deoria"
1196,Hong Kong
1197,"AHMEDABAD, INDIA"
1198,PB X
1199,Pune-Panchkula-Faridabad
1200,"Ludhiana, Punjab"
1201,Gujarat-India
1202,"Agra, Dehradun, NCR"
1203,Delhi / Ranchi
1204,The Whole World
1205,Kolkata | New Delhi
1206,"Lucknow,East (UP) "
1207,Some Where N D Earth
1208,Allahabad
1209,www.intelisy.in
1210,નડીયાદ
1211,"Mussorie,Uttaranchal"
1212,boston ma
1213,"India, Bharat, Hindustan"
1214,3rd Planet
1215,"India, Atlanta, GA USA"
1216,Shimla
1217,परासिया मध्यप्रदेश
1218,"Mumbai,  India"
1219,"Delhi, INDIA"
1220,Girnar Gujrat
1221,Karam Khand
1222,khargone 
1223,"Rajasthan, India "
1224,Gurgaon/ Alwar (Bharat)
1225,"Houston, TX"
1226,"New Delhi, India  "
1227,"Anamnagar-32, Kathmandu, Nepal"
1228, सांचौर राजस्थान
1229,New Delhi/Bangalore
1230,Delhi  India
1231,आपके दिल मे
1232,s
1233,Near you
1234,Bareilly
1235,Animal Farm
1236,Jodhpur 
1237,United Ki
1238,"29,Vishnoi House jaipur "
1239,Neverland
1240,"Maheshwar, MP India"
1241,"Bandipur-Karnataka, India"
1242,"Faridabad, India, Haryana"
1243,"Kalka, Haryana"
1244,mother earth
1245,Silicon Valley
1246,www.bloombergquint.com
1247,"गुडगाँव, इंडिया"
1248,Out of the box
1249,Danoda 
1250,"Kadegaon, Sangli #Maharashtra"
1251,"Udaipur, Rajasthan "
1252,Secunderabad
1253,moradabad
1254,NOIDA/Mathura/Reotipur
1255,currently @ the pale blue dot
1256,"Goa, india"
1257,"RSS Shakha, Nagpur"
1258,"Kalimpong, West Bengal"
1259,jama Masjid Delhi
1260,Himalaya
1261,"Gurugram/New Delhi, India "
1262,"Punhana, Haryana"
1263,अचलपूर जि.अमरावती महाराष्ट्र 
1264,"Mumbai, India "
1265,"Salem, Tamilnadu, India"
1266,Ghaziabad / Shamli 
1267,"पुणे, महाराष्ट्र, भारत "
1268,your choice
1269,"Gujarat, Vadodara"
1270,Delhi 🔄UP
1271,Prayagraj
1272,Mumbai/Allahabad
1273,rishikesh
1274,Kaza lahul Spiti
1275,land of black diamond
1276,"Faridabad, Haryana"
1277,"new delhi,india"
1278,Dark side of the Moon
1279,जाटलैंड
1280,"Preston, UK"
1281,"Muzaffarnagar, India"
1282,jagdalpur chattisgar 
1283,Alternate Reality
1284,"meme, land"
1285,"Jhajjar, India"
1286,Swades
1287,Uttrakhand
1288,Does it matter?Well travelled
1289,राहें बहुत है-मंज़िल की तलास।।
1290,"रीवा, मध्यप्रदेश,भारत"
1291,"Basavakalyan, India"
1292,NOWHERE
1293,Moradabad _Aligarh _INDIA
1294,Haryana-India
1295,"Delhi , India"
1296,Mustafabad North East Delhi
1297,New (Delhi) India !
1298," New Delhi,Varanasi"
1299,MS 
1300,Floating 
1301,Mukherjee nagar 
1302,"Gangol, Diyodar, B.K., Gujarat"
1303,In My Own Prison
1304,"Agra, UP"
1305,आर्यावर्त देश
1306,મારી એક અલગ દુનિયા
1307,www
1308,"Sidhpur, India"
1309,"आर्यावर्त, अखण्ड भारत"
1310,"Assam, India "
1311,"California, USA"
1312,नई दिल्ली / पटना
1313,England
1314,"Sydney, Australia"
1315,"Gomti Nagar, Lucknow India"
1316,GURGAON
1317,"Ostermundigen, Bern"
1318,"Berlin, Germany"
1319,"Maryland, USA"
1320,"Navelim, Goa"
1321,अखण्ड भारतवर्ष
1322,Los Angeles
1323,मजे में 
1324,"Barcelona, Spain"
1325,"Manchester, UK"
1326,Ireland
1327,Margherita assam India 
1328,online
1329,"New York, "
1330,Lahore
1331,"London, UK"
1332,"Seattle, WA"
1333,Northampton
1334,Isle of
1335,"Staten Island, NY"
1336,Hollywood 
1337,Hilversum
1338,Bangalore  ✈ Delhi   ✈ London
1339,London via Sydney & Kabul
1340,North East india
1341,Scandinavia
1342,"Austin, Texas"
1343,"Oslo, Norway"
1344,Siwan Bihar India
1345,London via Bangalore and Delhi
1346,infont of you
1347,मेलुहा
1348,Sweden Stockholm
1349,Dilli se hu bhnchd
1350,"Stockholm, Sweden"
1351,Roaming World 
1352,Kerala
1353,"Ottawa, Canada"
1354,"North West, England"
1355,India-Noida/Mumbai/Mathura
1356,अखंड भारत
1357,RAMPUR
1358,"lave, "
1359,"Earth, Solarsystem"
1360,Radio Free California
1361,"Indianapolis, IN"
1362,Lucknow (U.P)
1363,"रहनेको घर नहीं,सारा जहाँ हमारा"
1364,Noida New Delhi
1365,Mostly India
1366,twitter pe
1367,Rajasthan India
1368,FmrUS
1369,Teri aukat se bahar
1370,"Dhaka,Bangladesh"
1371,"Itanagar, Arunachal| New Delhi"
1372,"NH 27,51."
1373,"England, United Kingdom"
1374,#world
1375,Incredible India
1376,"kota,Rajasthan "
1377,Bengal 
1378,next to electric socket 
1379,"New Delhi, India | Bhubaneswar"
1380,Jamshedpur
1381,NSFW-selfol
1382,New York City
1383,"Bangalore,  Delhi "
1384,"Bryan, Texas"
1385,North Yorks
1386,"Faridabad,Haryana"
1387,"Raipur, India"
1388,"Gargoti, Kolhapur"
1389,"Navi Mumbai, Maharashtra"
1390,"delhi,india"
1391,Unknown
1392,"Chittaranjan Park, New Delhi"
1393,Noida|Ambikapur Chhattisgarh 
1394,Limache
1395,U don't need to know
1396,Jhansi
1397,Ayodhya
1398,BLR/LON| Opinions Are Personal
1399,Safety 101 Dont get kidnapped 
1400,சென்னை
1401,भारतवर्ष (Bharat)
1402,Rewa | Bhopal
1403,Toronto / New Delhi
1404,"Dubai, Karnataka "
1405,Uttarakhand
1406,"Lucknow Canttonment Zone, Luck"
1407,"Cambridge, MA &/or New Delhi"
1408,in line for a dole whip
1409,"Minneapolis / New Delhi, India"
1410,ब्रह्मांड
1411,"Mussoorie, Goa, Delhi, Udaipur"
1412,Sagittarius A*
1413,Bhubneshwar
1414,Pluto !
1415,बड़ी दूर से आये है
1416,"Madhya Pradesh, India"
1417,Hindusthan - My Mother India
1418,"DLF City Phase 3, Gurgaon"
1419,Up in the air. 
1420,U.p. ballia
1421,Troll Naka 
1422,Yadav Nagar Jogeshwari West 
1423,"Manitoba, Canada"
1424,Diskoland
1425,"Borivali East, Mumbai"
1426,भारत  
1427,"Bihar, India (Gaya)"
1428,Patna  ❤ 
1429,dehradun
1430,"गोंडा उत्तर प्रदेश, केसर गंज"
1431,गौऊ शाला इन भक्तलैंड 
1432,"कोलकाता, भारत"
1433,Cambridge UK
1434,New Delhi and Jharkhand
1435,vijayawada
1436,"sirsa,India."
1437,"भारतवर्ष,सोने की चिड"
1438,"Ambala, India"
1439,Republic of Korea
1440,Magadh
1441,Neral
1442,अपनों के दिलो मे 
1443,#Grounded@Chandigarh@B'lore
1444,"SAMASTIPUR,BIHAR (INDIA)"
1445,Ratlam
1446,Hyderabad | Chennai | Mumbai
1447,jaha koi kisi ko na jaane
1448,"Earth, milkyway galaxy"
1449,प्रयागराज  🚩 यूपी 70 
1450,Add your location
1451,Bhubaneswar 
1452,"Calgary, Alberta"
1453,Bombay 
1454,"Bihar, India"
1455,freedomville 
1456,Brussels
1457,"Salkia, Haora"
1458,"kolkata, India"
1459,"South Delhi, India "
1460,"Delhi,  India"
1461,"Surat, India"
1462,अखंड भारत 
1463,"Bihar  🔛 Jharkhand, India"
1464,JAIPUR Rajasthan
1465,"New Delhi, Gujarat"
1466,Japan India Japan 
1467,"lucknow,India"
1468,"Faisalabad,Punjab, Pakistan"
1469,द्वारका विधानसभा दिल्ली 
1470,"Kannauj,UP { INDIA }"
1471,"Nottingham, England"
1472,New Delhi...
1473,Mumbai. India.
1474,आबू की वादियों में...
1475,"Windsor ON, Canada"
1476,dabru dabru dabru.hahahaha.com
1477,"RPS Green Valley, Faridabad"
1478,"New Delhi/Jaipur, INDIA"
1479," Kreeri Baramulla , India"
1480,"Boulder, CO"
1481,"Pune, INDIA"
1482,Bhilwara Rajasthan
1483,"Delhi NCR, Bharat varsh"
1484,Rivendell
1485,"Madras, India"
1486,"South East, England"
1487,UP India
1488,"El Paso, TX"
1489,"Narwana (Jind) Haryana,India"
1490,"Edinburgh, Scotland"
1491,Leidschendam
1492,"JNU, cssp"
1493,"Palwal, India"
1494,"Jaitaran, India"
1495,"Chittagong, Bangl"
1496,"Panaji, Goa"
1497,BARRACKPORE
1498,"Multan, Pakistan"
1499,Somewhere in Mumbai 
1500,Martian
1501,"वाराणसी, भारत "
1502,Dehri 🚆 Dehradun ✈️GURUGRAM
1503,lost in space
1504,unchahar raebareli
1505,माहिषमती 
1506,GLOBAL
1507,"Shaktinagar, India"
1508,somewhere on the earth
1509,"गोररवपुर New Delhi, India"
1510,"Sirsa, Haryana, India"
1511,::1
1512,mummy papa ke saath 
1513,JNU
1514,"भारत,पृथ्वी,ब्रह्मांड"
1515,Jodhpur
1516,love to serve humanity. 
1517,10463 New York
1518,వైజాగ్
1519,U.P. India
1520,UNIV
1521,"Born:Dindigul,Roaming: Chennai"
1522,Basti - Lucknow - New Delhi
1523,221B Baker Street
1524,"Hyderabad, Telangana."
1525,"Singhpura, Zirakpur"
1526,dindigul
1527,Earth2030
1528,"Northeast IL - Yep, near Chgo"
1529,3rd rock from the Sun
1530,"New Delhi,Noida"
1531,Mumbai/Delhi Hindustan
1532,Amazon forest
1533,"Patna,Bihar/Kolkata,WB"
1534,ಶಿವಲೋಕ
1535,Bharatha
1536,jahannam
1537,"faridabad , india"
1538,P
1539,"New Delhi, Lucknow, India"
1540,Bhopal (M.p) Bharat
1541,"नागपूर, महाराष्ट्र"
1542,New 
1543,"Medinipur, India"
1544,Jamshedpur/Hyderabad
1545,tarun.shukla1@timesinternet.in
1546,"Bangalore, Chandigarh, Jammu"
1547,Pune-Mumbai-Pune
1548,New Delhi/Raipur/Auroville
1549,फ़तेहपुर उत्तर प्रदेश
1550,sh
1551,"Noida, india"
1552,"Haryana, In"
1553,Urban Nomad
1554,"Bareilly, India"
1555,Twitter pe
1556,"Cleveland, OH"
1557,"Brahmapur, Odisha, India"
1558,Dumeelans & Dhimmies Paradise
1559,"Tikamgarh~Bhopal ~Delhi, India"
1560,kolkata
1561,"SAMASTIPUR(BIHAR,INDIA)"
1562,"Lko, India"
1563,"New Delhi, Bangalore "
1564,"Ahmedabad,Gujarat,INDIA"
1565,Delhi India 
1566,on helicopter
1567,चाँद पर है अपुन
1568,"Riyadh Saudi Arabia,Pune India"
1569,"Haryana ,India"
1570,"mumbai, India"
1571,"Bhinmal, India"
1572,Harvard
1573,"Islamabad, Pakistan"
1574,ఆంధ్రప్రదేశ్ 
1575,Āryāvarta  
1576,"Mumbai, India."
1577,Bhondsi (Gurugram)
1578,"Rae Bareily, India"
1579,"Bharat, (India)"
1580,Capital of Movement
1581,नई दिल्ली/भारत
1582,"Mumbai,India."
1583,Besides work.
1584,"Amsterdam, The Netherlands"
1585,"Tuscany, Italy, Europe"
1586,Wakanda
1587,"Navrangpura, Ahmadabad, India"
1588,"India, Kerala"
1589,मुम्बई
1590,Moradabad
1591,jodhpur
1592,"Haridwar, India"
1593,Dubai
1594,bermuda triangle 
1595,"Himachal Pradesh, India"
1596,"New Delhi, Dwarka, India"
1597,Jamaica- Trinidad &Tobago
1598,JAMBU DWEEPA
1599,घर में रहता हूँ..
1600, Surat Gujarat 
1601,"India,  new delhi "
1602,"New Delhi,india"
1603,Darbhanga
1604, Indian
1605,"Puri,Orissa in India"
1606,Dubai/Mumbai
1607,Ande Se Baahar
1608,Lost Somewhere!! 
1609,"Jhabua (MP), Delhi/Ghaziabad"
1610,#UP & #New D
1611,gurgaon
1612,IND
1613,"Barh, India"
1614,"Lucknow, India , hardoi"
1615,Feroze pur (punjab)
1616,tish
1617,Gurgoan
1618,"Pulwama, K"
1619,NYC | London 
1620,"Barabanki, India"
1621,Chittaranjan/Kolkata/Tinsukia
1622,"Bagicha, Rajasthan, India"
1623,"Toronto, Canada "
1624,kaliyug
1625,"Somewhere, New Delhi"
1626,Unnao
1627,"Nahan, India"
1628,nowhere
1629,Capital of Ksa....
1630,"उड़ता पंछी हूँ,ठिकाना बनाना है"
1631,she/her • minor
1632,Still on Earth
1633,Somewhere in the Multiverse
1634,Gandidam
1635,शिवभूमि
1636,Calcutta & Jamshedpur
1637,Mt Regrets
1638,to be determined...
1639,KOLKATA
1640,"Jodhpur, India"
1641, बैंगलोर-  भारत वर्ष
1642,Own Head Space
1643,Your neighbour
1644,Gurgaon 
1645,"Udupi, India"
1646,பழைய இந்தியா
1647,"I'm either lost, or everywhere"
1648,bhopal
1649,"Chandigarh,India"
1650,All Sport - India Plays
1651,"Himatnagar, Gujarat, India"
1652,"Bhubaneswar, Odisha"
1653,Direc
1654,Gujarat
1655,cob
1656,"Vijayawada, India"
1657,Ajanābha-varṣa
1658,"आगरा, उत्तर प्रदेश ।"
1659,india new delhi
1660,"Ahmedabad, Gujarat, India"
1661,देवभूमि उत्तराखण्ड - ओखलंज
1662,"Allahabad, Mumbai, Delhi"
1663,Silicon Valley USA
1664,Ratangarh Rajsthan india
1665,North East Bharat
1666,Varanasi/Renukoot
1667,"Chennai, Tamilnadu."
1668,"kanchipuram, Tamilnadu, India"
1669,30 जानेवारी तक गांधी विचार 
1670,"Birmingham, England"
1671,"Pune,MH,India"
1672,Moment
1673,NYC  ✈️ Moab
1674,Liberté d’ Expression 
1675,New Delhi الهند
1676,Patna bihar
1677,"Jalandhar, Punjab, India"
1678,"Ajman, United Arab Emirates"
1679,samastipur
1680,"Panagar, India"
1681,"Bhusawal, India from - Buldana"
1682,Singhpur - same as you
1683,Ice age
1684,"Jhansi, India"
1685,"Ahmadabad City, Gujarat"
1686,indirapuram
1687,"Milwaukee, WI"
1688,"A.P, India "
1689,Delhi   
1690,"Udhampur, Jammu And Kashmir"
1691,Amethi
1692,Himachal Pradesh | India
1693,Uttara Prachand
1694,नोएडा/प्रयागराज
1695,Bangalore/Delhi
1696,Mumbai - New Delhi - Lucknow
1697,"Paris, France"
1698,슬기 ✩ 
1699,charging point
1700,ABP NEWS
1701,"New Delhi, Shillong"
1702,magicshop
1703,Chennai 
1704,"Ottawa, Ontario"
1705,alwar Rajasthan
1706,Jersey Shore
1707,northern california
1708,"Kozhikode, Kerala"
1709,Steelers Nation
1710,"Mumbai- Pune, India"
1711,Omnipresent
1712,India 🇮🇳 the golden place 
1713,"Vadodara, Gujarat, India"
1714,"New-Delhi,India"
1715,Hogwarts
1716,Ache Din
1717,Junagadh
1718,#beefsquad
1719,Were dreams become r
1720,Good side. What do you need?
1721,Noida Delhi
1722,"Naperville, IL"
1723,"Chandigarh, Punjab"
1724,lucknow india
1725,New Delhi/Noida
1726,New Delhi / ਪੰਜਾਬ
1727,Gurgaon Haryana
1728,Florida  
1729,Manhattan
1730,"Punero, Maharkhand"
1731,Chile
1732,"Ajitpur, Rampur"
1733,Peddapurappadu
1734,"maharashtra, Hindustan "
1735,Rewa Madhya Pradesh
1736,Nagapattinam
1737,the wild
1738,"Boston, USA"
1739, Bengaluru Hyderabad Kakinada
1740,Delhi/NCR Earlier GHY/BGP/JAM
1741,Lords
1742,haryana (kurushetra)
1743,Wanderlust
1744,"New Delhi,  INDIA"
1745,"Malleswaram, Bangalore,India"
1746,"Texas, USA"
1747,Washington DC
1748,"Patparganj, Delhi"
1749,"India, delhi"
1750,Houston / Sugarland
1751,Where Everyone Gets Along 
1752,W
1753,प्रयागराज
1754," Mumbai, Pune, Dubai"
1755,"Kochi; Doha, Qatar"
1756,Pakistan 
1757,Hind
1758,Sheopur m.p. 
1759,"Kathmandu ,Nepal"
1760,NAGPUR
1761,Bikaner-- Bangalore
1762,"Sanghi Colony, Gujarat"
1763,Sahibzada Ajit Singh Nagar
1764,Bangalore | Kannur | Wayanad
1765,YYZ-Around
1766,Doha (Qatar)
1767,"Delhi , Dubai"
1768,Definitely not Mars but Alien
1769,Maharashtra INDIA
1770,"Dehradun, Uttrakhand:"
1771,Wadiya
1772,Rajasthan/Gujarat
1773,"Gwalior, Madhya Pradesh"
1774,Indian Start-up Ecosystem 
1775,delhi ncr india
1776,Bengaluru/Delhi
1777,"Hindustan, India "
1778,Bastar
1779,ारत
1780,Navi Mumbai
1781,"Whatsapp, Twitter, Facebook"
1782,"नोएडा, उत्तर प्रदेश"
1783,Mumbai || PrayagRaj 
1784,Thailand
1785,म्यांमार
1786,Lost in the Hearts
1787,uttarakhand
1788,Mumbai | Delhi | Gorakhpur
1789,нιяʋcнιяαρραℓι
1790,Airports/Hotels/ Delhi 
1791,Ahmredabad.Gujarat ..India.
1792,Chowkidar Chowk
1793,somewh
1794,"28.682206,77.196161"
1795,"San Diego, California, USA"
1796,ODISHA  India
1797,universe 
1798,हिसार/ गुरुग्राम/ दिल्ली
1799,Jai Telangana. 
1800,"Sheopur, India"
1801,Oman/ Dubai
1802,1800s Aliens Gravesite
1803,Dilli
1804,"हरियाणा, हिंदुस्तान"
1805,"Appleton, WI"
1806,Porkistan 
1807,London and Dubai
1808,"MaDLabs, Devathe Soundam Naad"
1809,"Begusarai, Bihar"
1810,"Madhubani, India"
1811,"Goraya, India"
1812,Multiverse
1813,T
1814,magic shop
1815,Secular India
1816,127.255.255.254
1817,Jind Haryana 
1818,"Dubai, UAE / Bangalore, India"
1819,borahae
1820,Blore/Chennai
1821,Delhi NCR 
1822,"Hamburg, Germany"
1823,"मध्य प्रदेश MP, भारत"
1824,PANVEL
1825,Mumbai-India
1826,"Orion Arm, Galaxías Kýklos"
1827, hai apna
1828,ATM
1829,"Mandsaur, India"
1830,"ಹಾಸನ, Bengaluru, Karnataka"
1831,New Delhi/Jaipur
1832,JALANDHAR CITY.PUNJAB 
1833,"guwahati, Assam, India "
1834,Nairobi
1835,CHENNAI
1836,Bhubaneswar & rest of Bharat
1837,Mumbai/Pune
1838,USA/India
1839,Mumbai and Toronto
1840,linkedin.com/in/sauravkumar/
1841,डेल्ही
1842,"Santa Monica, CA"
1843,"Arunachal Pradesh, India"
1844,अपने कमरे में 
1845,dreams
1846,milky-way 
1847,"Mysore, India"
1848,Global Village 
1849,अजनबी ही ठीक हूँ 
1850,"Panchkula, India"
1851,"Gudari,Rayagada, Odisha"
1852,Sri Ganganagar
1853,In your thoughts
1854,Delhi I Azamgarh
1855,Northern California USA
1856,India cg 
1857,"ÜT: 18.5253289,73.8674798"
1858,"india ,delhi"
1859,"Junjani, Bhinmal, India"
1860,Google Me
1861,Singapore | New Delhi
1862,"Patna, Bengaluru, India"
1863,Chaand pai h
1864,"GOA,INDIA "
1865,jaipur to delhi 
1866,हरियाणे का लोंडा
1867,Atlantis
1868,Kherwara Udaipur INDIA
1869,Cricket ground
1870,Proud Indian 
1871,India/UK
1872,EmpathyHasNoBoundaries...
1873,GPS network not connected :p
1874,Cultural Capital of MiddleEast
1875,Look around you  
1876,Kadachh
1877,Euroland
1878,crotia
1879,Smile to see a Smiling World
1880,जटाधारी भोले के
1881,"Fishtail Montana, 59028 USA"
1882,ucknow 🛫 Gujarat
1883,Gwalior
1884,"India, Oman, Qatar & Kuwait"
1885,shribalaji
1886,Snooze land
1887,Bhubaneswar | Kolkata | Bihar 
1888, Ukraine
1889,Ardawata
1890,Trichy / Chennai / KL
1891,Baltimore md
1892,Noida/New Delhi/Gurgaon
1893,Poonamallee
1894,New Delhi l Mumbai l lndia
1895,THE INTERWEBZ
1896,RTing +VeNEET Tweets since2016
1897,"ÜT: 26.851678,80.950848"
1898,thiruvanathapuram India 
1899,Vasai
1900,Chand pr rehta h
1901,Sector 135 Noida
1902,"Chamba, India"
1903,Somewhere near island.
1904,ചതിയൻകുളങ്ങര
1905,loniliness
1906,gujrat
1907,multiverse
1908,"Earth, Galaxies, Universe"
1909,Tiruvannamalai
1910,Modi ji chain se rhne nhi dete
1911,"London, Delhi"
1912,"bihar,India"
1913,"Gurgaon-Moradabad, India"
1914,"प्रयागराज , भारत"
1915,-rest-
1916,Delhi/bihar
1917,"ichapuram,A.P,INDIA."
1918,बड़ौदा श्योपुर (म.प्र.)
1919,"Riyadh, Kingdom of Saudi Arabi"
1920,"Pulwama, Jammu And Kashmir"
1921,Berhampore
1922,iran e sageer
1923,"noida, india"
1924,In Creativity 
1925,"Usually At 40,000+ Feets"
1926,mangalore india 
1927,no
1928,"india, delhi"
1929,currently in your mind 
1930,"Kharar, India. "
1931,Fefana 
1932,"Varanasi , UP, India"
1933,"Noida Sector-16, UP"
1934,garh jharkhand
1935,"Lahore, India"
1936,"New York, NY"
1937,Sagar M.P.
1938,Masking my sad with s
1939,New Delhi / Odisha 
1940,Sainthia
1941,"Patiala, India"
1942,"Sydney, New South Wales"
1943,Visakhapatnam 
1944,"Karimnagar,India"
1945,"San Francisco, CA"
1946,Tuticorin
1947,Unavailable
1948,Mumbai - Telford (UK)
1949,Delhi/Bihar
1950,Bed
1951,kanpur up
1952,"नई दिल्ली , भारत "
1953,"Lunar, Near to VikramLander"
1954,Oblivion
1955,Bakchodham Society
1956,jaunpur
1957,Henan
1958,Largest Democracy on Earth 
1959,"Bronx, NY"
1960,"Wayanad, Kerala, India"
1961,Kasargod | Kerala
1962,Varanasi
1963,Agra
1964,जिस देश में गंगा बहती है
1965,Apne de
1966,navi mumbai (new bombay)
1967,Bharat MUMBAI
1968,"Amravati, India"
1969,Phone's charging point
1970,"JNU,New Delhi"
1971,mumbai 
1972,Beyond Bhakt Thinking
1973,"Basmath, IN | rudra.kadam.2@gmail"
1974,Central India (Indore-Sheopur)
1975,"Juhu, Mumbai"
1976,nowhere in your imagination
1977,Amroha
1978,"Dilshad Garden, New Delhi"
1979,Ghazipur & Varanasi
1980,New Delhi / Guwahati - India
1981,Country of Fools
1982,Wherever Necessary! :-p
1983,In your Mobile 
1984,New delhi 
1985,camp nou
1986,"San Fransisco, Aamai"
1987,Kota rajasthan
1988,"Glasgow, Scotland"
1989,"गुजरात, भारत"
1990,धुळे महाराष्ट्र जय महाराष्ट्
1991, God Wa
1992,"Allahabad, New Delhi"
1993,Delhi/London - LSE 
1994,Jammu/Delhi
1995,kya karoge jaan kar
1996,मदरसा
1997,Bad Location
1998,जय 
1999,Sultanpur Delhi
2000,"Santiniketan, India"
2001,Mumbai/Chennai 
2002,New Delhi and Coochbehar
2003,M
2004,TWITZERLAND
2005,Kanpur
2006,"Saket, New Delhi, India "
2007,"गोरखपुर,उत्तर प्रदेश"
2008,Planet-I
2009,Bangalore/Bombay
2010,"Parsathua,Sasaram,India"
2011,"Gujarat, Bharat"
2012,PL
2013,"Navi Mumbai, India."
2014,"J Navodaya Vidyalaya,Latur "
2015,South India
2016,"New Delhi, India  ✈️ Prayagraj"
2017,Noida 
2018,"IIT Guwahati, Guwahati"
2019,Deccan Plateau 
2020,Hidden Island
2021,jaipur.. india 
2022,Somewhere
2023,Mumbai/Sultanpur UP
2024," 28.674154,77.449011 "
2025,Latur 
2026,Non-resident Indori
2027,"Amritsar,Punjab"
2028,BANGALORE - CHENNAI
2029,"Istanbul,Turkey"
2030,Dharti pe hu bhaai
2031,San fransico / Gurgaon
2032,Madurai
2033,नशे में
2034,x
2035,"MUMBAI , India"
2036,"Some place, Some where!"
2037,Manipur
2038,Earth 🌍 There is no Pl
2039,"Mandla, India"
2040,"Dilli, Indyeah!"
2041,"Jawahar Lal Nehru University, New Delhi"
2042,Delhi &Kashi(Banaras/Varanasi)
2043,on 10.0.1
2044,Heaven
2045,New Delhi - London - Paris
2046,atesua murdhan Varanasi
2047,"West patel nagar, Delhi"
2048,Mumbai-Pune
2049,UK | US | Canada | Singapore 
2050,"University Campus, New Delhi"
2051,Bharat Varsha 
2052,"Dilli, India"
2053,"New Delhi, Lakhimpur (UP)"
2054,"Junagad, India"
2055,"Hyderabad, Andhra Pradesh"
2056,In your dreams
2057,bombay / delhi 
2058,mh370
2059,"Earth, India, Calcutta"
2060,bhagalpur bihar
2061,HINDUSTAN
2062,Around the World
2063,Kolhapur
2064,Palghar
2065,New York & New Delhi
2066,hasanpur samastipur bihar
2067,"Malwa, Punjab, India"
